id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_bulan,nama_bulan,komponen_darah,jumlah,satuan,tahun
1,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,WB,3,ORANG,2021
2,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,PRC,483,ORANG,2021
3,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,TC,17,ORANG,2021
4,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,WB,0,ORANG,2021
5,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,PRC,534,ORANG,2021
6,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,TC,17,ORANG,2021
7,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,WB,0,ORANG,2021
8,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,PRC,665,ORANG,2021
9,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,TC,24,ORANG,2021
10,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,WB,0,ORANG,2021
11,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,PRC,660,ORANG,2021
12,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,TC,0,ORANG,2021
13,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,WB,2,ORANG,2021
14,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,PRC,620,ORANG,2021
15,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,TC,0,ORANG,2021
16,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,WB,0,ORANG,2021
17,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,PRC,709,ORANG,2021
18,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,TC,28,ORANG,2021
19,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,WB,0,ORANG,2021
20,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,PRC,418,ORANG,2021
21,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,TC,18,ORANG,2021
22,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,WB,0,ORANG,2021
23,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,PRC,559,ORANG,2021
24,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,TC,0,ORANG,2021
25,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,WB,3,ORANG,2021
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,PRC,655,ORANG,2021
27,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,TC,23,ORANG,2021
28,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,WB,2,ORANG,2021
29,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,811,ORANG,2021
30,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,33,ORANG,2021
31,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,0,ORANG,2021
32,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,964,ORANG,2021
33,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,55,ORANG,2021
34,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,3,ORANG,2021
35,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,894,ORANG,2021
36,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,65,ORANG,2021
37,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,WB,2,ORANG,2022
38,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,PRC,1023,ORANG,2022
39,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,TC,79,ORANG,2022
40,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,WB,2,ORANG,2022
41,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,PRC,715,ORANG,2022
42,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,TC,16,ORANG,2022
43,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,WB,0,ORANG,2022
44,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,PRC,830,ORANG,2022
45,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,TC,12,ORANG,2022
46,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,WB,0,ORANG,2022
47,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,PRC,772,ORANG,2022
48,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,TC,7,ORANG,2022
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,WB,0,ORANG,2022
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,PRC,896,ORANG,2022
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,TC,0,ORANG,2022
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,WB,0,ORANG,2022
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,PRC,823,ORANG,2022
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,TC,37,ORANG,2022
55,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,WB,0,ORANG,2022
56,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,PRC,790,ORANG,2022
57,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,TC,38,ORANG,2022
58,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,WB,1,ORANG,2022
59,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,PRC,859,ORANG,2022
60,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,TC,19,ORANG,2022
61,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,WB,0,ORANG,2022
62,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,PRC,773,ORANG,2022
63,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,TC,13,ORANG,2022
64,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,WB,0,ORANG,2022
65,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,828,ORANG,2022
66,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,17,ORANG,2022
67,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,4,ORANG,2022
68,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,660,ORANG,2022
69,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,16,ORANG,2022
70,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,4,ORANG,2022
71,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,849,ORANG,2022
72,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,30,ORANG,2022
73,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,WB,0,ORANG,2023
74,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,PRC,756,ORANG,2023
75,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,TC,11,ORANG,2023
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,WB,0,ORANG,2023
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,PRC,759,ORANG,2023
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,TC,5,ORANG,2023
79,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,WB,0,ORANG,2023
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,PRC,741,ORANG,2023
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,TC,11,ORANG,2023
82,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,WB,0,ORANG,2023
83,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,PRC,746,ORANG,2023
84,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,TC,16,ORANG,2023
85,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,WB,15,ORANG,2023
86,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,PRC,886,ORANG,2023
87,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,TC,15,ORANG,2023
88,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,WB,9,ORANG,2023
89,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,PRC,696,ORANG,2023
90,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,TC,9,ORANG,2023
91,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,WB,1,ORANG,2023
92,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,PRC,894,ORANG,2023
93,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,TC,38,ORANG,2023
94,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,WB,0,ORANG,2023
95,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,PRC,762,ORANG,2023
96,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,TC,12,ORANG,2023
97,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,WB,9,ORANG,2023
98,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,PRC,757,ORANG,2023
99,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,TC,16,ORANG,2023
100,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,WB,2,ORANG,2023
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,888,ORANG,2023
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,4,ORANG,2023
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,2,ORANG,2023
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,829,ORANG,2023
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,4,ORANG,2023
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,0,ORANG,2023
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,828,ORANG,2023
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,4,ORANG,2023
109,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,WB,1,ORANG,2024
110,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,PRC,779,ORANG,2024
111,32,JAWA BARAT,3278,KOTA TASIKMALAYA,1,JANUARI,TC,60,ORANG,2024
112,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,WB,0,ORANG,2024
113,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,PRC,617,ORANG,2024
114,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2,FEBRUARI,TC,16,ORANG,2024
115,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,WB,4,ORANG,2024
116,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,PRC,698,ORANG,2024
117,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,MARET,TC,19,ORANG,2024
118,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,WB,4,ORANG,2024
119,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,PRC,606,ORANG,2024
120,32,JAWA BARAT,3278,KOTA TASIKMALAYA,4,APRIL,TC,22,ORANG,2024
121,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,WB,10,ORANG,2024
122,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,PRC,710,ORANG,2024
123,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,MEI,TC,11,ORANG,2024
124,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,WB,4,ORANG,2024
125,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,PRC,549,ORANG,2024
126,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,JUNI,TC,19,ORANG,2024
127,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,WB,0,ORANG,2024
128,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,PRC,696,ORANG,2024
129,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,JULI,TC,25,ORANG,2024
130,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,WB,0,ORANG,2024
131,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,PRC,598,ORANG,2024
132,32,JAWA BARAT,3278,KOTA TASIKMALAYA,8,AGUSTUS,TC,21,ORANG,2024
133,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,WB,1,ORANG,2024
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,PRC,565,ORANG,2024
135,32,JAWA BARAT,3278,KOTA TASIKMALAYA,9,SEPTEMBER,TC,18,ORANG,2024
136,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,WB,0,ORANG,2024
137,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,PRC,644,ORANG,2024
138,32,JAWA BARAT,3278,KOTA TASIKMALAYA,10,OKTOBER,TC,12,ORANG,2024
139,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,WB,0,ORANG,2024
140,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,PRC,549,ORANG,2024
141,32,JAWA BARAT,3278,KOTA TASIKMALAYA,11,NOVEMBER,TC,17,ORANG,2024
142,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,WB,0,ORANG,2024
143,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,PRC,618,ORANG,2024
144,32,JAWA BARAT,3278,KOTA TASIKMALAYA,12,DESEMBER,TC,0,ORANG,2024
